[2025-12-13 20:53:07,817] INFO: 📡 API Polling started: https://v0-marketplacewebapp111-indol.vercel.app
[2025-12-13 20:53:08,050] INFO: 🚀 Unified Bot started: @gyuioguighuiobot
[2025-12-13 20:53:08,050] INFO: Start polling
[2025-12-13 20:53:08,132] INFO: Run polling for bot @gyuioguighuiobot id=8336584073 - 'lkjlkjlk.bot'
[2025-12-13 20:53:16,931] INFO: Update id=988849676 is handled. Duration 250 ms by bot id=8336584073
[2025-12-13 20:53:22,478] INFO: 🚫 Unauthorized admin access attempt from 7602550695
[2025-12-13 20:53:22,478] INFO: Update id=988849677 is handled. Duration 94 ms by bot id=8336584073
[2025-12-13 20:53:42,837] INFO: 🚫 Unauthorized admin access attempt from 7602550695
[2025-12-13 20:53:42,838] INFO: Update id=988849678 is handled. Duration 108 ms by bot id=8336584073
[2025-12-13 20:53:53,661] INFO: 📡 API Polling started: https://v0-marketplacewebapp111-indol.vercel.app
[2025-12-13 20:53:53,889] INFO: 🚀 Unified Bot started: @gyuioguighuiobot
[2025-12-13 20:53:53,889] INFO: Start polling
[2025-12-13 20:53:53,958] INFO: Run polling for bot @gyuioguighuiobot id=8336584073 - 'lkjlkjlk.bot'
[2025-12-13 20:54:00,225] INFO: Update id=988849679 is handled. Duration 266 ms by bot id=8336584073
[2025-12-13 20:55:08,326] INFO: 📡 API Polling started: https://v0-marketplacewebapp111-indol.vercel.app
[2025-12-13 20:55:10,971] INFO: 🚀 Unified Bot started: @panelmarkettpp_bot
[2025-12-13 20:55:10,971] INFO: Start polling
[2025-12-13 20:55:11,036] INFO: Run polling for bot @panelmarkettpp_bot id=8437625246 - 'panel market bot'
[2025-12-13 20:55:42,047] INFO: Update id=430658798 is handled. Duration 250 ms by bot id=8437625246
[2025-12-13 20:55:54,003] INFO: Update id=430658799 is handled. Duration 109 ms by bot id=8437625246
[2025-12-13 20:56:06,703] INFO: Update id=430658800 is handled. Duration 265 ms by bot id=8437625246
[2025-12-13 20:58:52,202] INFO: Update id=430658801 is handled. Duration 172 ms by bot id=8437625246
[2025-12-13 20:59:05,909] INFO: Start creating a new auth key on DC2
[2025-12-13 20:59:05,909] INFO: Connecting...
[2025-12-13 20:59:05,978] INFO: Connected! Production DC2 - IPv4
[2025-12-13 20:59:07,920] INFO: Done auth key exchange: DhGenOk
